personID, contentID, eventStrength, timestamp
1,87,1,1474390942
1,407,2,1461609322
1,407,1,1461609307
1,407,3,1461609368
1,407,1,1461609396
1,407,1,1461610363
1,407,1,1466604472
1,407,1,1466604474
1,653,1,1464871667
1,653,1,1464871668
1,725,1,1470406818
1,725,2,1470406864
1,876,1,1463485171
1,930,1,1460410633
1,930,3,1460411029
1,1024,1,1461606822
1,1024,1,1461606789
1,1079,1,1469632495
1,1184,1,1466015037
1,1184,1,1466015034
1,1215,1,1463501746
1,1227,1,1474390928
1,1244,1,1463504403
1,1244,1,1463503533
1,1327,1,1464037950
1,1327,1,1464029351
1,1466,1,1485207001
1,1592,1,1471616214
1,1592,1,1471630910
1,1602,1,1475259852
1,1713,1,1460219209
1,1752,3,1461095235
1,1752,1,1461095180
1,1790,1,1467913252
1,2232,1,1460514585
1,2232,1,1460411435
1,2232,1,1460411249
1,2232,3,1460411472
1,2232,1,1460411215
1,2262,1,1471309033
1,2291,1,1460411327
1,2291,1,1460411310
1,2416,1,1459537563
1,2705,1,1464354073
1,2739,2,1465227497
1,2739,1,1465227491
1,2739,1,1465227491
1,2789,1,1479910824
1,2817,1,1459984598
1,2817,1,1459982418
1,2972,1,1464196719
2,203,1,1460553106
2,203,4,1460557672
2,665,1,1485796462
2,1199,1,1487239966
2,1390,1,1483438539
2,1519,1,1464870347
2,1519,1,1464870347
2,1551,1,1469726071
2,2066,1,1486049988
2,2286,1,1465835709
2,2286,1,1465835708
2,2380,1,1471288487
2,2471,1,1481652261
2,2848,1,1468416858
2,2849,1,1487247570
3,2104,1,1471894740
3,2104,2,1471895844
4,768,1,1468866267
4,831,1,1459869811
4,966,1,1462279054
4,1003,1,1459818873
4,1373,1,1460477600
4,2532,1,1468865962
5,254,1,1484655292
5,991,1,1466482913
5,991,1,1466456537
5,991,1,1466433115
5,991,1,1466433127
5,991,1,1466485361
5,991,1,1466511740
5,991,1,1466444509
5,1553,1,1463768448
5,1596,1,1464006050
5,1596,1,1464006537
5,1890,1,1477961246
5,1890,1,1477940382
5,1890,1,1477911837
5,2035,1,1464877417
5,2035,1,1464877424
5,2463,1,1467289328
5,2463,1,1467289344
5,2483,1,1464892847
5,2483,1,1464892840
5,2483,5,1464893067
5,2483,3,1464893067
5,2764,1,1467823211
5,2786,1,1468436964
5,2786,1,1468969934
5,2786,1,1468846212
5,2786,1,1468415462
5,2786,2,1468415518
5,2786,4,1468415498
5,2786,1,1469048693
5,2786,1,1469015294
5,2786,1,1468873481
5,2786,1,1468874892
5,2786,1,1469192552
5,2786,1,1468887336
5,2786,1,1468892994
5,2786,1,1468876012
5,2786,1,1468585816
5,2786,1,1469291103
5,2786,1,1468929357
6,547,1,1469533273
7,361,1,1466422925
7,361,1,1466423091
7,950,1,1470313317
7,1082,1,1468848778
7,1171,1,1462458267
7,1329,1,1459877802
7,1840,1,1464886189
7,1840,1,1464886302
7,2093,2,1459524914
7,2093,1,1459524826
7,2925,1,1469814692
8,172,1,1463319956
8,682,1,1464809180
8,682,1,1464809181
8,794,1,1473760450
8,904,1,1466622680
8,904,1,1466622683
8,904,1,1466686954
8,904,1,1466633530
8,1282,1,1484957760
8,1282,1,1484958019
8,1422,1,1465326394
8,1422,1,1465326396
8,1500,1,1461679245
8,1880,1,1462926599
8,1926,1,1467737726
8,1926,1,1465224875
8,1926,1,1465224875
8,1926,5,1465225437
8,1926,3,1465225437
8,1926,1,1467213592
8,1926,1,1467213593
8,2064,1,1466455359
8,2064,1,1466455359
8,2106,1,1462189032
8,2235,1,1473160819
8,2876,1,1468941861
8,2908,1,1468255551
9,880,1,1463055853
10,182,1,1472848337
10,558,1,1478530881
10,558,1,1478519868
10,628,1,1478866339
10,923,1,1485190019
10,964,1,1474908402
10,1019,1,1486643333
10,1101,1,1473192584
10,1251,1,1477913685
10,1339,1,1477396239
10,1418,1,1473335897
10,1426,1,1472239959
10,1530,1,1477566691
10,1560,1,1474978668
10,1560,1,1474998808
10,1560,1,1474997987
10,2181,1,1486730495
10,2200,1,1480935718
10,2200,1,1480606500
10,2200,1,1481124719
10,2235,1,1473163748
10,2404,1,1481630652
10,2570,1,1476963671
10,2969,1,1476963674
10,2983,1,1481113483
10,2983,1,1481122989
11,1944,1,1486144290
12,24,1,1466538789
12,24,1,1466538785
12,230,1,1465583153
12,230,1,1465583145
12,310,2,1468599950
12,310,1,1468599768
12,456,1,1474570669
12,580,1,1466529016
12,580,1,1466529012
12,748,1,1464717219
12,748,1,1464717220
12,752,1,1468010329
12,949,1,1476985490
12,949,4,1476994740
12,1004,1,1468351415
12,1049,1,1466529133
12,1049,1,1466529130
12,1076,1,1465827655
12,1076,1,1465827652
12,1089,1,1461699506
12,1457,2,1468599332
12,1457,1,1468599032
12,1507,1,1464717166
12,1507,1,1464717166
12,1562,1,1463584671
12,1605,1,1470759189
12,1605,1,1470837666
12,1605,1,1470837889
12,1605,1,1470667340
12,1605,1,1470850031
12,1700,1,1466602586
12,1700,1,1466602583
12,1700,1,1469557088
12,2362,1,1465582731
12,2362,1,1465582726
12,2427,1,1468935195
12,2630,1,1465583377
12,2630,1,1465583374
12,2729,1,1468417606
12,2729,1,1468422267
12,2729,1,1468414588
12,2838,1,1475856455
12,2848,1,1468590758
12,2884,1,1466608867
12,2884,1,1466608864
13,496,1,1468975234
13,496,1,1475687287
13,2717,1,1463575483
13,2717,1,1463517218
14,2235,1,1473170273
14,2571,1,1481398154
14,2764,1,1467814064
15,20,1,1487673258
15,148,1,1474974316
15,265,1,1474974314
15,395,1,1470419051
15,547,1,1469470562
15,658,1,1463743004
15,691,1,1471953021
15,691,1,1471952990
15,871,1,1485857686
15,871,1,1485857689
15,971,1,1487671922
15,1151,1,1487672749
15,1398,1,1487934450
15,1496,1,1475843547
15,2144,1,1485945197
15,2597,1,1472155918
15,2633,1,1485961992
16,33,1,1486551908
16,395,1,1470690699
16,395,1,1470674645
16,395,1,1470434523
16,395,2,1470435479
16,395,1,1470435371
16,395,3,1470435558
16,395,5,1470435559
16,395,1,1470538716
16,640,1,1472562645
16,685,3,1473683968
16,685,5,1473683968
16,685,1,1473679165
16,770,2,1474558540
16,770,1,1474558469
16,1223,1,1465819320
16,1223,1,1465819320
16,1251,1,1478186614
16,1422,1,1468264617
16,1422,4,1468264632
16,1422,2,1468264633
16,1551,1,1469791350
16,1605,1,1470439860
16,1605,1,1470439084
16,1605,3,1470440870
16,1605,2,1470439219
16,1605,1,1470439400
16,1605,5,1470440870
16,1605,1,1470440640
16,1605,1,1470440877
16,1605,1,1470439035
16,1605,1,1470439029
16,1653,1,1473687732
16,1726,1,1481114217
16,1726,1,1481537920
16,1775,1,1473679175
16,1776,1,1472209597
16,1884,1,1473636636
16,1901,1,1468616540
16,1991,1,1487241085
16,1991,2,1487273375
16,1991,3,1487273392
16,1991,5,1487273392
16,2084,1,1468009333
16,2302,1,1473768174
16,2380,1,1461706350
16,2431,1,1471378270
16,2521,2,1472823152
16,2521,1,1472823059
16,2574,1,1484664213
16,2917,1,1476724027
17,584,1,1468583184
17,1570,1,1466817871
17,1570,1,1466817852
17,1570,2,1466817992
17,2849,1,1487249030
18,38,1,1475063184
18,59,1,1475863841
18,105,1,1476889410
18,105,1,1476889536
18,105,1,1476890684
18,124,1,1478010680
18,226,1,1472434904
18,333,1,1474376244
18,558,1,1478202269
18,611,1,1477482159
18,720,1,1476123286
18,782,1,1477669323
18,842,1,1478174522
18,1101,1,1473162852
18,1159,1,1473696259
18,1159,1,1473695419
18,1237,1,1473970554
18,1241,1,1477307594
18,1368,1,1472805369
18,1399,1,1474915359
18,1463,1,1473894709
18,1496,1,1475519144
18,1530,1,1477500409
18,1653,1,1473686902
18,1679,1,1474496594
18,1804,1,1480439400
18,1838,1,1476722768
18,2064,1,1466452972
18,2064,1,1466452971
18,2160,1,1478182900
18,2173,1,1477935731
18,2173,1,1477937600
18,2173,1,1477937668
18,2175,1,1478624490
18,2228,1,1472567888
18,2334,1,1472750650
18,2360,1,1474400094
18,2512,1,1473699021
18,2613,1,1477655744
18,2638,1,1478182903
18,2642,1,1472729756
18,2680,1,1473971760
18,2680,1,1473971607
18,2680,1,1473971530
18,2803,1,1474915253
18,2912,1,1474307047
18,2912,1,1474307500
18,2917,1,1476723109
18,2951,1,1479183413
18,2985,1,1477655731
19,276,1,1460388558
19,1148,1,1478256958
19,1785,1,1460388484
20,722,1,1478719874
20,1010,1,1469804002
20,1944,1,1485777818
20,2556,1,1462295263
20,2626,1,1470679032
20,2764,1,1467998371
20,2764,1,1467998435
20,2900,1,1478530524
21,371,1,1467232192
21,371,1,1467232193
22,213,1,1462459314
22,213,2,1462459581
22,491,1,1467157466
22,491,1,1467157461
22,498,1,1464097098
22,1122,1,1464900368
22,1122,1,1464900366
22,1363,1,1461781969
22,1524,1,1470340473
22,1524,1,1470397166
22,1551,1,1469796237
22,1880,2,1462914779
22,1880,1,1462914462
22,2003,1,1465847839
22,2003,1,1465847840
22,2078,1,1467157480
22,2078,1,1467157421
22,2078,1,1467157421
22,2701,1,1462322866
23,44,1,1468573203
24,10,1,1461160996
24,10,1,1467821363
24,221,1,1477330005
24,698,1,1461950623
24,698,1,1461862367
24,1004,1,1468245876
